state,district,block,village,lgd_code
Karnataka,Raichur,Raichur,Buddinni,600877
Karnataka,Raichur,Maski,Buddinni,600492
Karnataka,Raichur,Maski,Buddinni,601139
Karnataka,Raichur,Arakera,Buddinni,600712
Karnataka,Raichur,Maski,Buddinni,600442
Karnataka,Raichur,Devadurga,Buddinni,600542
Karnataka,Raichur,Sirwar,Buddinni,600935
Karnataka,Raichur,Raichur,Budidipad,600759
Karnataka,Raichur,Devadurga,Budinhal,600649
Karnataka,Raichur,Sindhnur,Budiwal,601206
Karnataka,Raichur,Sindhnur,Bukanhatti,601072
Karnataka,Raichur,Sirwar,Bullapur,600948
Karnataka,Raichur,Raichur,Bullapur,600874
Karnataka,Raichur,Devadurga,Bunkaldoddi,600537
Karnataka,Raichur,Manvi,Burhanpur,601023
Karnataka,Raichur,Sindhnur,Butaldinni,601131
Karnataka,Raichur,Manvi,Byagwat,601043
Karnataka,Raichur,Lingasugur,Byalihal,600377
Karnataka,Raichur,Arakera,Chadkalgudda,600585
Karnataka,Raichur,Sirwar,Chagbhavi,600976
Karnataka,Raichur,Raichur,Chandrabanda,600773
Karnataka,Raichur,Sindhnur,Channahalli,601219
Karnataka,Raichur,Devadurga,Chapalki,600540
Karnataka,Raichur,Lingasugur,Chattar,600391
Karnataka,Raichur,Devadurga,Chickbudur,600604
Karnataka,Raichur,Lingasugur,Chick-Hesarur,600489
Karnataka,Raichur,Devadurga,Chickhonkuni,600629
Karnataka,Raichur,Devadurga,Chickkudalgi,600652
Karnataka,Raichur,Raichur,Chickmanchal,600875
Karnataka,Raichur,Devadurga,Chickraikumpi,600638
Karnataka,Raichur,Raichur,Chicksugur,600806
Karnataka,Raichur,Lingasugur,Chikaldoddi,600463
Karnataka,Raichur,Manvi,Chikalparvi,601035
Karnataka,Raichur,Sindhnur,Chikbhergi,601073
Karnataka,Raichur,Sirwar,Chikkabadardinni,600946
Karnataka,Raichur,Maski,Chikkadinni,600921
Karnataka,Raichur,Sirwar,Chikka Hanagi,600943
Karnataka,Raichur,Arakera,Chikkaldoddi,600678
Karnataka,Raichur,Lingasugur,Chikka Nagnur,600483
Karnataka,Raichur,Maski,Chikkaudbal,600918
Karnataka,Raichur,Maski,Chikkkadbur,601096
Karnataka,Raichur,Manvi,Chikkotankal,601032
Karnataka,Raichur,Maski,Chilkaragi,600900
Karnataka,Raichur,Manvi,Chimlapur,600993
Karnataka,Raichur,Sirwar,Chincharaki,600928
Karnataka,Raichur,Devadurga,Chinchodi,600538
Karnataka,Raichur,Arakera,Chintalkunta,600682
Karnataka,Raichur,Sindhnur,Chintamandoddi,601172
Karnataka,Raichur,Sindhnur,Chiratanal,601120
Karnataka,Raichur,Sindhnur,Chitrali,601173
Karnataka,Raichur,Lingasugur,Chitranhal,600426
Karnataka,Raichur,Lingasugur,Chittapur,600396
Karnataka,Raichur,Lingasugur,Chukanahatti,600486
Karnataka,Raichur,Sindhnur,Cincheri,601209
Karnataka,Raichur,Maski,Dabbermadu,600505
Karnataka,Raichur,Manvi,Daddal,601020
Karnataka,Raichur,Maski,Deensamudra,601101
Karnataka,Raichur,Raichur,Deosugur,600739
Karnataka,Raichur,Maski,Desai-Bhogapur,600529
Karnataka,Raichur,Devadurga,Devadurga (Rural),600610
Karnataka,Raichur,Raichur,Devanpalli,600798
Karnataka,Raichur,Lingasugur,Devar-Bhupur,600466
Karnataka,Raichur,Arakera,Devatgal,600566
Karnataka,Raichur,Arakera,Devergud,600581
Karnataka,Raichur,Devadurga,Devergud,600627
Karnataka,Raichur,Sindhnur,Devergudi,601123
Karnataka,Raichur,Manvi,Devipur,601055
Karnataka,Raichur,Sirwar,Dewatgal,600947
Karnataka,Raichur,Sindhnur,Dhadesugur,601210
Karnataka,Raichur,Manvi,Dhotarbandi,601040
Karnataka,Raichur,Sindhnur,Dibbanakhed,601156
Karnataka,Raichur,Sindhnur,Diddigi,601147
Karnataka,Raichur,Maski,Dignaikanbhavi,600514
Karnataka,Raichur,Raichur,Dinni,600828
Karnataka,Raichur,Maski,Donamaradi,600927
Karnataka,Raichur,Devadurga,Dondambli,600591
Karnataka,Raichur,Raichur,Dongarampur,600754
Karnataka,Raichur,Sirwar,Donmardi,600933
Karnataka,Raichur,Raichur,Dugnoor,600868
Karnataka,Raichur,Sindhnur,Dumti,601168
Karnataka,Raichur,Arakera,Durg,600665
Karnataka,Raichur,Lingasugur,Eachanhal,600414
Karnataka,Raichur,Maski,Eklasapur,600887
Karnataka,Raichur,Raichur,Eklaspur,600782
Karnataka,Raichur,Manvi,Eralgaddi,601054
Karnataka,Raichur,Raichur,Fathepur,600818
Karnataka,Raichur,Devadurga,Gabbur,600670
Karnataka,Raichur,Lingasugur,Gadgi,600456
Karnataka,Raichur,Raichur,Gadhar,600845
Karnataka,Raichur,Maski,Gadratigi,601063
Karnataka,Raichur,Devadurga,Gagal,600636
Karnataka,Raichur,Devadurga,Gajaldinni,600562
Karnataka,Raichur,Arakera,Gajjibhavi,600687
Karnataka,Raichur,Raichur,Gajral,600762
Karnataka,Raichur,Arakera,Galag,600584
Karnataka,Raichur,Sirwar,Ganadinni,600972
Karnataka,Raichur,Arakera,Ganajali,600565
Karnataka,Raichur,Arakera,Gandhal,600576
Karnataka,Raichur,Raichur,Gandhal,600871
Karnataka,Raichur,Sindhnur,Gandhinagar,601079
Karnataka,Raichur,Arakera,Ganekal,600672
Karnataka,Raichur,Raichur,Gangwar,600879
Karnataka,Raichur,Raichur,Ganjhalli,600742
Karnataka,Raichur,Raichur,Ganmur,600768
Karnataka,Raichur,Raichur,Garaldinni,600829
Karnataka,Raichur,Raichur,Gatbichal,600861
