state,district,block,village,lgd_code
Madhya Pradesh,Barwani,Sendhwa,Rojanimal,934975
Madhya Pradesh,Barwani,Rajpur,Rojhani,478333
Madhya Pradesh,Barwani,Pati,Rosar,478083
Madhya Pradesh,Barwani,Pati,Roshmal,478181
Madhya Pradesh,Barwani,Rajpur,Rui,478371
Madhya Pradesh,Barwani,Thikri,Rupkheda,478230
Madhya Pradesh,Barwani,Pansemal,Saap Khadki,478477
Madhya Pradesh,Barwani,Pati,Sagbara,478149
Madhya Pradesh,Barwani,Pati,Sagmal,478172
Madhya Pradesh,Barwani,Anjad,Sajwai,478259
Madhya Pradesh,Barwani,Barwani,Sajwani,478034
Madhya Pradesh,Barwani,Barwani,Sajwani Kham,478033
Madhya Pradesh,Barwani,Anjad,Sakad,478262
Madhya Pradesh,Barwani,Niwali,Sakad,478540
Madhya Pradesh,Barwani,Pansemal,Sakrali Buzurg,478443
Madhya Pradesh,Barwani,Pansemal,Sakrali Khurd,478446
Madhya Pradesh,Barwani,Rajpur,Sali(Bhagsur),478296
Madhya Pradesh,Barwani,Rajpur,Salikalan,478387
Madhya Pradesh,Barwani,Rajpur,Salitanda,478388
Madhya Pradesh,Barwani,Rajpur,Salkheda,478340
Madhya Pradesh,Barwani,Niwali,Salun,478565
Madhya Pradesh,Barwani,Barwani,Samarkheda,478040
Madhya Pradesh,Barwani,Anjad,Sandewa,478251
Madhya Pradesh,Barwani,Barwani,Sangaon,478010
Madhya Pradesh,Barwani,Rajpur,Sangaon,478350
Madhya Pradesh,Barwani,Anjad,Sangoda,478291
Madhya Pradesh,Barwani,Rajpur,Sangwi(Bhulgaon),478373
Madhya Pradesh,Barwani,Rajpur,Sangwi (Than),478365
Madhya Pradesh,Barwani,Pansemal,Sanpkhadki,478433
Madhya Pradesh,Barwani,Pati,Sapai Duwali,478126
Madhya Pradesh,Barwani,Rajpur,Sawarda,478322
Madhya Pradesh,Barwani,Pati,Sawariyapani,478102
Madhya Pradesh,Barwani,Barwani,Segaon Revenue Area,478007
Madhya Pradesh,Barwani,Barwani,Segawan,478018
Madhya Pradesh,Barwani,Niwali,Segawi,478555
Madhya Pradesh,Barwani,Thikri,Segwal,478237
Madhya Pradesh,Barwani,Niwali,Sekatmuhali,478538
Madhya Pradesh,Barwani,Varla,Seli,478665
Madhya Pradesh,Barwani,Thikri,Semalda,478198
Madhya Pradesh,Barwani,Sendhwa,Semalya,478587
Madhya Pradesh,Barwani,Pati,Semlar,478147
Madhya Pradesh,Barwani,Pati,Semli,478089
Madhya Pradesh,Barwani,Pati,Semliya Khodra,478137
Madhya Pradesh,Barwani,Pati,Semlya Khodara,478192
Madhya Pradesh,Barwani,Sendhwa,Sendhawa (R.A.),478645
Madhya Pradesh,Barwani,Thikri,Shahpura,478247
Madhya Pradesh,Barwani,Sendhwa,Shahpura,478597
Madhya Pradesh,Barwani,Thikri,Sherpura,478238
Madhya Pradesh,Barwani,Pansemal,Shivanipadauta,478493
